id,name,duration,type,professor_id,student_group_ids
CS101,Introduction to Computer Science,1.0,Lecture,P1,"G1"
CS102,Data Structures,1.5,Lecture,P2,"G1"
CS201,Algorithms,2.0,Lecture,P1,"G2"
CS202,Database Systems,1.0,Lecture,P3,"G2"
CS301,Machine Learning,2.0,Lecture,P2,"G3"
MATH101,Calculus I,1.0,Lecture,P4,"G1,G2"
MATH102,Linear Algebra,1.5,Lecture,P5,"G2,G3"
ENG101,Technical Writing,1.0,Lecture,P6,"G1,G3"
PHYS101,Physics I,1.0,Lecture,P7,"G1"
CHEM101,Chemistry I,1.0,Lecture,P8,"G2"
BIO101,Biology I,1.0,Lecture,P9,"G3"
STAT101,Statistics,1.5,Lecture,P10,"G1,G2,G3"
